station_id,station,office,scenario,min,med,max
station-白金高輪,白金高輪,playground,wkday0900,15,18,23
station-白金高輪,白金高輪,m3career,wkday0900,9,12,17
station-目白,目白,playground,wkday0900,17,20,25
station-目白,目白,m3career,wkday0900,23,26,31
station-目黒,目黒,playground,wkday0900,13,16,21
station-目黒,目黒,m3career,wkday0900,9,12,17
station-矢口渡,矢口渡,playground,wkday0900,42,45,50
station-矢口渡,矢口渡,m3career,wkday0900,37,40,45
station-石神井公園,石神井公園,playground,wkday0900,43,46,51
station-石神井公園,石神井公園,m3career,wkday0900,49,52,57
station-祖師ケ谷大蔵,祖師ヶ谷大蔵,playground,wkday0900,35,38,43
station-祖師ケ谷大蔵,祖師ヶ谷大蔵,m3career,wkday0900,39,42,47
station-神保町,神保町,playground,wkday0900,4,7,12
station-神保町,神保町,m3career,wkday0900,11,14,19
station-神楽坂,神楽坂,playground,wkday0900,9,12,17
station-神楽坂,神楽坂,m3career,wkday0900,21,24,29
station-神田,神田,playground,wkday0900,9,12,17
station-神田,神田,m3career,wkday0900,15,18,23
station-秋葉原,秋葉原,playground,wkday0900,13,16,21
station-秋葉原,秋葉原,m3career,wkday0900,19,22,27
station-稲荷町,稲荷町,playground,wkday0900,17,20,25
station-稲荷町,稲荷町,m3career,wkday0900,19,22,27
station-立会川,立会川,playground,wkday0900,27,30,35
station-立会川,立会川,m3career,wkday0900,23,26,31
station-立川,立川,playground,wkday0900,52,55,60
station-立川,立川,m3career,wkday0900,61,64,69
station-竹ノ塚,竹ノ塚,playground,wkday0900,46,49,54
station-竹ノ塚,竹ノ塚,m3career,wkday0900,55,58,63
station-竹橋,竹橋,playground,wkday0900,2,5,10
station-竹橋,竹橋,m3career,wkday0900,9,12,17
station-笹塚,笹塚,playground,wkday0900,15,18,23
station-笹塚,笹塚,m3career,wkday0900,15,18,23
station-築地,築地,playground,wkday0900,11,14,19
station-築地,築地,m3career,wkday0900,9,12,17
station-糀谷,糀谷,playground,wkday0900,37,40,45
station-糀谷,糀谷,m3career,wkday0900,32,35,40
station-綾瀬,綾瀬,playground,wkday0900,35,38,43
station-綾瀬,綾瀬,m3career,wkday0900,37,40,45
station-練馬,練馬,playground,wkday0900,37,40,45
station-練馬,練馬,m3career,wkday0900,42,45,50
station-練馬春日町,練馬春日町,playground,wkday0900,40,43,48
station-練馬春日町,練馬春日町,m3career,wkday0900,46,49,54
station-船堀,船堀,playground,wkday0900,31,34,39
station-船堀,船堀,m3career,wkday0900,32,35,40
station-芦花公園,芦花公園,playground,wkday0900,37,40,45
station-芦花公園,芦花公園,m3career,wkday0900,37,40,45
station-茅場町,茅場町,playground,wkday0900,11,14,19
station-茅場町,茅場町,m3career,wkday0900,13,16,21
station-茗荷谷,茗荷谷,playground,wkday0900,17,20,25
station-茗荷谷,茗荷谷,m3career,wkday0900,21,24,29
station-荏原町,荏原町,playground,wkday0900,25,28,33
station-荏原町,荏原町,m3career,wkday0900,21,24,29
station-荻窪,荻窪,playground,wkday0900,32,35,40
station-荻窪,荻窪,m3career,wkday0900,39,42,47
station-落合,落合,playground,wkday0900,22,25,30
station-落合,落合,m3career,wkday0900,23,26,31
station-落合南長崎,落合南長崎,playground,wkday0900,30,33,38
station-落合南長崎,落合南長崎,m3career,wkday0900,36,39,44
station-葛西,葛西,playground,wkday0900,35,38,43
station-葛西,葛西,m3career,wkday0900,37,40,45
station-蒲田,蒲田,playground,wkday0900,42,45,50
station-蒲田,蒲田,m3career,wkday0900,36,39,44
station-蓮根,蓮根,playground,wkday0900,36,39,44
station-蓮根,蓮根,m3career,wkday0900,42,45,50
station-虎ノ門,虎ノ門,playground,wkday0900,6,9,14
station-虎ノ門,虎ノ門,m3career,wkday0900,1,4,9
station-虎ノ門ヒルズ,虎ノ門ヒルズ,playground,wkday0900,6,9,14
station-虎ノ門ヒルズ,虎ノ門ヒルズ,m3career,wkday0900,1,3,8
station-表参道,表参道,playground,wkday0900,9,12,17
station-表参道,表参道,m3career,wkday0900,11,14,19
station-西大島,西大島,playground,wkday0900,25,28,33
station-西大島,西大島,m3career,wkday0900,35,38,43
station-西小山,西小山,playground,wkday0900,21,24,29
station-西小山,西小山,m3career,wkday0900,17,20,25
station-西新井,西新井,playground,wkday0900,43,46,51
station-西新井,西新井,m3career,wkday0900,43,46,51
station-西新宿,西新宿,playground,wkday0900,17,20,25
station-西新宿,西新宿,m3career,wkday0900,15,18,23
station-西新宿五丁目,西新宿五丁目,playground,wkday0900,17,20,25
station-西新宿五丁目,西新宿五丁目,m3career,wkday0900,15,18,23
station-西日暮里,西日暮里,playground,wkday0900,24,27,32
station-西日暮里,西日暮里,m3career,wkday0900,26,29,34
station-西永福,西永福,playground,wkday0900,27,30,35
station-西永福,西永福,m3career,wkday0900,27,30,35
station-西船橋,西船橋,playground,wkday0900,49,52,57
station-西船橋,西船橋,m3career,wkday0900,49,52,57
station-西荻窪,西荻窪,playground,wkday0900,35,38,43
station-西荻窪,西荻窪,m3career,wkday0900,39,42,47
station-西葛西,西葛西,playground,wkday0900,33,36,41
station-西葛西,西葛西,m3career,wkday0900,37,40,45
station-護国寺,護国寺,playground,wkday0900,13,16,21
station-護国寺,護国寺,m3career,wkday0900,17,20,25
station-豊洲,豊洲,playground,wkday0900,21,24,29
station-豊洲,豊洲,m3career,wkday0900,15,18,23
station-赤羽,赤羽,playground,wkday0900,37,40,45
station-赤羽,赤羽,m3career,wkday0900,37,40,45
station-赤羽岩淵,赤羽岩淵,playground,wkday0900,38,41,46
station-赤羽岩淵,赤羽岩淵,m3career,wkday0900,43,46,51
station-赤羽橋,赤羽橋,playground,wkday0900,9,12,17
station-赤羽橋,赤羽橋,m3career,wkday0900,3,6,11
station-辰巳,辰巳,playground,wkday0900,23,26,31
station-辰巳,辰巳,m3career,wkday0900,19,22,27
station-都庁前,都庁前,playground,wkday0900,13,16,21
station-都庁前,都庁前,m3career,wkday0900,13,16,21
station-金町,金町,playground,wkday0900,42,45,50
station-金町,金町,m3career,wkday0900,43,46,51
station-銀座,銀座,playground,wkday0900,11,14,19
station-銀座,銀座,m3career,wkday0900,9,12,17
station-錦糸町,錦糸町,playground,wkday0900,23,26,31
station-錦糸町,錦糸町,m3career,wkday0900,28,31,36
station-門前仲町,門前仲町,playground,wkday0900,17,20,25
station-門前仲町,門前仲町,m3career,wkday0900,17,20,25
station-阿佐ケ谷,阿佐ケ谷,playground,wkday0900,30,33,38
station-阿佐ケ谷,阿佐ケ谷,m3career,wkday0900,34,37,42
station-阿佐ヶ谷,阿佐ヶ谷,playground,wkday0900,30,33,38
station-阿佐ヶ谷,阿佐ヶ谷,m3career,wkday0900,34,37,42
station-雑司が谷,雑司が谷,playground,wkday0900,15,18,23
station-雑司が谷,雑司が谷,m3career,wkday0900,21,24,29
station-霞ヶ関,霞ヶ関,playground,wkday0900,4,7,12
station-霞ヶ関,霞ヶ関,m3career,wkday0900,2,5,10
station-青山一丁目,青山一丁目,playground,wkday0900,5,8,13
station-青山一丁目,青山一丁目,m3career,wkday0900,9,12,17
station-青物横丁,青物横丁,playground,wkday0900,25,28,33
station-青物横丁,青物横丁,m3career,wkday0900,19,22,27
station-青砥,青砥,playground,wkday0900,39,42,47
station-青砥,青砥,m3career,wkday0900,40,43,48
station-飯田橋,飯田橋,playground,wkday0900,5,8,13
station-飯田橋,飯田橋,m3career,wkday0900,13,16,21
station-馬喰町,馬喰町,playground,wkday0900,13,16,21
station-馬喰町,馬喰町,m3career,wkday0900,15,18,23
station-馬込,馬込,playground,wkday0900,25,28,33
station-馬込,馬込,m3career,wkday0900,21,24,29
station-駒沢大学,駒沢大学,playground,wkday0900,22,25,30
station-駒沢大学,駒沢大学,m3career,wkday0900,25,28,33
station-駒込,駒込,playground,wkday0900,23,26,31
station-駒込,駒込,m3career,wkday0900,27,30,35
station-高井戸,高井戸,playground,wkday0900,37,40,45
station-高井戸,高井戸,m3career,wkday0900,37,40,45
station-高円寺,高円寺,playground,wkday0900,28,31,36
station-高円寺,高円寺,m3career,wkday0900,32,35,40
station-高田馬場,高田馬場,playground,wkday0900,19,22,27
station-高田馬場,高田馬場,m3career,wkday0900,25,28,33
station-鮫洲,鮫洲,playground,wkday0900,32,35,40
station-鮫洲,鮫洲,m3career,wkday0900,21,24,29
station-鵜の木,鵜の木,playground,wkday0900,40,43,48
station-鵜の木,鵜の木,m3career,wkday0900,36,39,44
station-鶯谷,鶯谷,playground,wkday0900,21,24,29
station-鶯谷,鶯谷,m3career,wkday0900,23,26,31
station-麹町,麹町,playground,wkday0900,1,3,8
station-麹町,麹町,m3career,wkday0900,7,10,15
station-麻布十番,麻布十番,playground,wkday0900,11,14,19
station-麻布十番,麻布十番,m3career,wkday0900,4,7,12
